P,S_T
0.0010526315789473684,1.0
0.002105263157894737,1.0
0.003157894736842105,1.0
0.004210526315789474,1.0
0.005263157894736842,1.0
0.00631578947368421,1.0
0.007368421052631579,1.0
0.008421052631578947,1.0
0.009473684210526316,1.0
0.010526315789473684,1.0
0.011578947368421053,1.0
0.01263157894736842,1.0
0.01368421052631579,1.0
0.014736842105263158,1.0
0.015789473684210527,1.0
0.016842105263157894,1.0
0.017894736842105262,1.0
0.018947368421052633,1.0
0.02,1.0
0.021052631578947368,1.0
0.022105263157894735,1.0
0.023157894736842106,1.0
0.024210526315789474,1.0
0.02526315789473684,1.0
0.02631578947368421,1.0
0.02736842105263158,1.0
0.028421052631578948,1.0
0.029473684210526315,1.0
0.030526315789473683,1.0
0.031578947368421054,1.0
0.03263157894736842,1.0
0.03368421052631579,1.0
0.034736842105263156,1.0
0.035789473684210524,1.0
0.03684210526315789,1.0
0.037894736842105266,1.0
0.03894736842105263,1.0
0.04,1.0
0.04105263157894737,1.0
0.042105263157894736,1.0
0.0431578947368421,1.0
0.04421052631578947,1.0
0.045263157894736845,1.0
0.04631578947368421,1.0
0.04736842105263158,1.0
0.04842105263157895,1.0
0.049473684210526316,1.0
0.05052631578947368,1.0
0.05157894736842105,1.0
0.05263157894736842,1.0
0.05368421052631579,1.0
0.05473684210526316,1.0
0.05578947368421053,1.0
0.056842105263157895,1.0
0.05789473684210526,1.0
0.05894736842105263,1.0
0.06,1.0
0.061052631578947365,1.0
0.06210526315789474,1.0
0.06315789473684211,1.0
0.06421052631578947,1.0
0.06526315789473684,1.0
0.06631578947368422,1.0
0.06736842105263158,1.0
0.06842105263157895,1.0
0.06947368421052631,1.0
0.07052631578947369,1.0
0.07157894736842105,1.0
0.07263157894736842,1.0
0.07368421052631578,1.0
0.07473684210526316,1.0
0.07578947368421053,1.0
0.07684210526315789,1.0
0.07789473684210527,1.0
0.07894736842105263,1.0
0.08,1.0
0.08105263157894736,1.0
0.08210526315789474,1.0
0.08315789473684211,1.0
0.08421052631578947,1.0
0.08526315789473685,1.0
0.0863157894736842,1.0
0.08736842105263158,1.0
0.08842105263157894,1.0
0.08947368421052632,1.0
0.09052631578947369,1.0
0.09157894736842105,1.0
0.09263157894736843,1.0
0.09368421052631579,1.0
0.09473684210526316,1.0
0.09578947368421052,1.0
0.0968421052631579,1.0
0.09789473684210526,1.0
0.09894736842105263,1.0
0.1,1.0
0.10105263157894737,1.0
0.10210526315789474,1.0
0.1031578947368421,1.0
0.10421052631578948,1.0
0.10526315789473684,1.0
0.10631578947368421,1.0
0.10736842105263159,1.0
0.10842105263157895,1.0
0.10947368421052632,1.0
0.11052631578947368,1.0
0.11157894736842106,1.0
0.11263157894736842,1.0
0.11368421052631579,1.0
0.11473684210526315,1.0
0.11578947368421053,1.0
0.1168421052631579,1.0
0.11789473684210526,1.0
0.11894736842105263,1.0
0.12,1.0
0.12105263157894737,1.0
0.12210526315789473,1.0
0.1231578947368421,1.0
0.12421052631578948,1.0
0.12526315789473685,1.0
0.12631578947368421,1.0
0.12736842105263158,1.0
0.12842105263157894,1.0
0.12947368421052632,1.0
0.13052631578947368,1.0
0.13157894736842105,1.0
0.13263157894736843,1.0
0.1336842105263158,1.0
0.13473684210526315,1.0
0.13578947368421052,1.0
0.1368421052631579,1.0
0.13789473684210526,1.0
0.13894736842105262,1.0
0.14,1.0
0.14105263157894737,1.0
0.14210526315789473,1.0
0.1431578947368421,1.0
0.14421052631578948,1.0
0.14526315789473684,1.0
0.1463157894736842,1.0
0.14736842105263157,1.0
0.14842105263157895,1.0
0.14947368421052631,1.0
0.15052631578947367,1.0
0.15157894736842106,1.0
0.15263157894736842,1.0
0.15368421052631578,1.0
0.15473684210526314,1.0
0.15578947368421053,1.0
0.1568421052631579,1.0
0.15789473684210525,1.0
0.15894736842105264,1.0
0.16,1.0
0.16105263157894736,1.0
0.16210526315789472,1.0
0.1631578947368421,1.0
0.16421052631578947,1.0
0.16526315789473683,1.0
0.16631578947368422,1.0
0.16736842105263158,1.0
0.16842105263157894,1.0
0.1694736842105263,1.0
0.1705263157894737,1.0
0.17157894736842105,1.0
0.1726315789473684,1.0
0.1736842105263158,1.0
0.17473684210526316,1.0
0.17578947368421052,1.0
0.17684210526315788,1.0
0.17789473684210527,1.0
0.17894736842105263,1.0
0.18,1.0
0.18105263157894738,1.0
0.18210526315789474,1.0
0.1831578947368421,1.0
0.18421052631578946,1.0
0.18526315789473685,1.0
0.1863157894736842,1.0
0.18736842105263157,1.0
0.18842105263157893,1.0
0.18947368421052632,1.0
0.19052631578947368,1.0
0.19157894736842104,1.0
0.19263157894736843,1.0
0.1936842105263158,1.0
0.19473684210526315,1.0
0.1957894736842105,1.0
0.1968421052631579,1.0
0.19789473684210526,1.0
0.19894736842105262,1.0
0.2,1.0
0.20105263157894737,1.0
0.20210526315789473,1.0
0.2031578947368421,1.0
0.20421052631578948,0.98
0.20526315789473684,0.98
0.2063157894736842,0.98
0.2073684210526316,0.98
0.20842105263157895,0.98
0.2094736842105263,0.98
0.21052631578947367,0.98
0.21157894736842106,0.98
0.21263157894736842,0.98
0.21368421052631578,0.98
0.21473684210526317,0.98
0.21578947368421053,0.98
0.2168421052631579,0.98
0.21789473684210525,0.98
0.21894736842105264,0.98
0.22,0.98
0.22105263157894736,0.96
0.22210526315789475,0.96
0.2231578947368421,0.96
0.22421052631578947,0.96
0.22526315789473683,0.96
0.22631578947368422,0.96
0.22736842105263158,0.96
0.22842105263157894,0.96
0.2294736842105263,0.96
0.2305263157894737,0.96
0.23157894736842105,0.96
0.2326315789473684,0.96
0.2336842105263158,0.96
0.23473684210526316,0.96
0.23578947368421052,0.96
0.23684210526315788,0.96
0.23789473684210527,0.96
0.23894736842105263,0.96
0.24,0.96
0.24105263157894738,0.96
0.24210526315789474,0.94
0.2431578947368421,0.94
0.24421052631578946,0.94
0.24526315789473685,0.94
0.2463157894736842,0.92
0.24736842105263157,0.92
0.24842105263157896,0.92
0.24947368421052632,0.92
0.2505263157894737,0.92
0.25157894736842107,0.92
0.25263157894736843,0.92
0.2536842105263158,0.92
0.25473684210526315,0.92
0.2557894736842105,0.92
0.25684210526315787,0.92
0.2578947368421053,0.92
0.25894736842105265,0.92
0.26,0.92
0.26105263157894737,0.9
0.26210526315789473,0.9
0.2631578947368421,0.9
0.26421052631578945,0.9
0.26526315789473687,0.9
0.26631578947368423,0.9
0.2673684210526316,0.9
0.26842105263157895,0.9
0.2694736842105263,0.9
0.27052631578947367,0.9
0.27157894736842103,0.9
0.27263157894736845,0.9
0.2736842105263158,0.9
0.27473684210526317,0.9
0.27578947368421053,0.9
0.2768421052631579,0.88
0.27789473684210525,0.86
0.2789473684210526,0.78
0.28,0.78
0.2810526315789474,0.78
0.28210526315789475,0.78
0.2831578947368421,0.78
0.28421052631578947,0.78
0.28526315789473683,0.78
0.2863157894736842,0.78
0.2873684210526316,0.78
0.28842105263157897,0.74
0.2894736842105263,0.74
0.2905263157894737,0.72
0.29157894736842105,0.72
0.2926315789473684,0.72
0.29368421052631577,0.72
0.29473684210526313,0.72
0.29578947368421055,0.72
0.2968421052631579,0.72
0.29789473684210527,0.72
0.29894736842105263,0.68
0.3,0.68
0.30105263157894735,0.64
0.3021052631578947,0.62
0.3031578947368421,0.62
0.3042105263157895,0.62
0.30526315789473685,0.58
0.3063157894736842,0.58
0.30736842105263157,0.56
0.30842105263157893,0.56
0.3094736842105263,0.56
0.3105263157894737,0.56
0.31157894736842107,0.5
0.3126315789473684,0.5
0.3136842105263158,0.5
0.31473684210526315,0.46
0.3157894736842105,0.46
0.31684210526315787,0.46
0.3178947368421053,0.46
0.31894736842105265,0.46
0.32,0.44
0.32105263157894737,0.44
0.32210526315789473,0.44
0.3231578947368421,0.44
0.32421052631578945,0.1
0.32526315789473687,0.1
0.3263157894736842,0.1
0.3273684210526316,0.06
0.32842105263157895,0.06
0.3294736842105263,0.06
0.33052631578947367,0.02
0.33157894736842103,0.0
0.33263157894736844,0.0
0.3336842105263158,0.0
0.33473684210526317,0.0
0.3357894736842105,0.0
0.3368421052631579,0.0
0.33789473684210525,0.0
0.3389473684210526,0.0
0.34,0.0
0.3410526315789474,0.0
0.34210526315789475,0.0
0.3431578947368421,0.0
0.34421052631578947,0.0
0.3452631578947368,0.0
0.3463157894736842,0.0
0.3473684210526316,0.0
0.34842105263157896,0.0
0.3494736842105263,0.0
0.3505263157894737,0.0
0.35157894736842105,0.0
0.3526315789473684,0.0
0.35368421052631577,0.0
0.3547368421052632,0.0
0.35578947368421054,0.0
0.3568421052631579,0.0
0.35789473684210527,0.0
0.3589473684210526,0.0
0.36,0.0
0.36105263157894735,0.0
0.36210526315789476,0.0
0.3631578947368421,0.0
0.3642105263157895,0.0
0.36526315789473685,0.0
0.3663157894736842,0.0
0.36736842105263157,0.0
0.3684210526315789,0.0
0.36947368421052634,0.0
0.3705263157894737,0.0
0.37157894736842106,0.0
0.3726315789473684,0.0
0.3736842105263158,0.0
0.37473684210526315,0.0
0.3757894736842105,0.0
0.37684210526315787,0.0
0.3778947368421053,0.0
0.37894736842105264,0.0
0.38,0.0
0.38105263157894737,0.0
0.3821052631578947,0.0
0.3831578947368421,0.0
0.38421052631578945,0.0
0.38526315789473686,0.0
0.3863157894736842,0.0
0.3873684210526316,0.0
0.38842105263157894,0.0
0.3894736842105263,0.0
0.39052631578947367,0.0
0.391578947368421,0.0
0.39263157894736844,0.0
0.3936842105263158,0.0
0.39473684210526316,0.0
0.3957894736842105,0.0
0.3968421052631579,0.0
0.39789473684210525,0.0
0.3989473684210526,0.0
0.4,0.0
0.4010526315789474,0.0
0.40210526315789474,0.0
0.4031578947368421,0.0
0.40421052631578946,0.0
0.4052631578947368,0.0
0.4063157894736842,0.0
0.4073684210526316,0.0
0.40842105263157896,0.0
0.4094736842105263,0.0
0.4105263157894737,0.0
0.41157894736842104,0.0
0.4126315789473684,0.0
0.41368421052631577,0.0
0.4147368421052632,0.0
0.41578947368421054,0.0
0.4168421052631579,0.0
0.41789473684210526,0.0
0.4189473684210526,0.0
0.42,0.0
0.42105263157894735,0.0
0.42210526315789476,0.0
0.4231578947368421,0.0
0.4242105263157895,0.0
0.42526315789473684,0.0
0.4263157894736842,0.0
0.42736842105263156,0.0
0.4284210526315789,0.0
0.42947368421052634,0.0
0.4305263157894737,0.0
0.43157894736842106,0.0
0.4326315789473684,0.0
0.4336842105263158,0.0
0.43473684210526314,0.0
0.4357894736842105,0.0
0.4368421052631579,0.0
0.4378947368421053,0.0
0.43894736842105264,0.0
0.44,0.0
0.44105263157894736,0.0
0.4421052631578947,0.0
0.4431578947368421,0.0
0.4442105263157895,0.0
0.44526315789473686,0.0
0.4463157894736842,0.0
0.4473684210526316,0.0
0.44842105263157894,0.0
0.4494736842105263,0.0
0.45052631578947366,0.0
0.4515789473684211,0.0
0.45263157894736844,0.0
0.4536842105263158,0.0
0.45473684210526316,0.0
0.4557894736842105,0.0
0.4568421052631579,0.0
0.45789473684210524,0.0
0.4589473684210526,0.0
0.46,0.0
0.4610526315789474,0.0
0.46210526315789474,0.0
0.4631578947368421,0.0
0.46421052631578946,0.0
0.4652631578947368,0.0
0.4663157894736842,0.0
0.4673684210526316,0.0
0.46842105263157896,0.0
0.4694736842105263,0.0
0.4705263157894737,0.0
0.47157894736842104,0.0
0.4726315789473684,0.0
0.47368421052631576,0.0
0.4747368421052632,0.0
0.47578947368421054,0.0
0.4768421052631579,0.0
0.47789473684210526,0.0
0.4789473684210526,0.0
0.48,0.0
0.48105263157894734,0.0
0.48210526315789476,0.0
0.4831578947368421,0.0
0.4842105263157895,0.0
0.48526315789473684,0.0
0.4863157894736842,0.0
0.48736842105263156,0.0
0.4884210526315789,0.0
0.48947368421052634,0.0
0.4905263157894737,0.0
0.49157894736842106,0.0
0.4926315789473684,0.0
0.4936842105263158,0.0
0.49473684210526314,0.0
0.4957894736842105,0.0
0.4968421052631579,0.0
0.4978947368421053,0.0
0.49894736842105264,0.0
0.5,0.0
0.5010526315789474,0.0
0.5021052631578947,0.0
0.5031578947368421,0.0
0.5042105263157894,0.0
0.5052631578947369,0.0
0.5063157894736842,0.0
0.5073684210526316,0.0
0.508421052631579,0.0
0.5094736842105263,0.0
0.5105263157894737,0.0
0.511578947368421,0.0
0.5126315789473684,0.0
0.5136842105263157,0.0
0.5147368421052632,0.0
0.5157894736842106,0.0
0.5168421052631579,0.0
0.5178947368421053,0.0
0.5189473684210526,0.0
0.52,0.0
0.5210526315789473,0.0
0.5221052631578947,0.0
0.5231578947368422,0.0
0.5242105263157895,0.0
0.5252631578947369,0.0
0.5263157894736842,0.0
0.5273684210526316,0.0
0.5284210526315789,0.0
0.5294736842105263,0.0
0.5305263157894737,0.0
0.531578947368421,0.0
0.5326315789473685,0.0
0.5336842105263158,0.0
0.5347368421052632,0.0
0.5357894736842105,0.0
0.5368421052631579,0.0
0.5378947368421053,0.0
0.5389473684210526,0.0
0.54,0.0
0.5410526315789473,0.0
0.5421052631578948,0.0
0.5431578947368421,0.0
0.5442105263157895,0.0
0.5452631578947369,0.0
0.5463157894736842,0.0
0.5473684210526316,0.0
0.5484210526315789,0.0
0.5494736842105263,0.0
0.5505263157894736,0.0
0.5515789473684211,0.0
0.5526315789473685,0.0
0.5536842105263158,0.0
0.5547368421052632,0.0
0.5557894736842105,0.0
0.5568421052631579,0.0
0.5578947368421052,0.0
0.5589473684210526,0.0
0.56,0.0
0.5610526315789474,0.0
0.5621052631578948,0.0
0.5631578947368421,0.0
0.5642105263157895,0.0
0.5652631578947368,0.0
0.5663157894736842,0.0
0.5673684210526316,0.0
0.5684210526315789,0.0
0.5694736842105264,0.0
0.5705263157894737,0.0
0.5715789473684211,0.0
0.5726315789473684,0.0
0.5736842105263158,0.0
0.5747368421052632,0.0
0.5757894736842105,0.0
0.5768421052631579,0.0
0.5778947368421052,0.0
0.5789473684210527,0.0
0.58,0.0
0.5810526315789474,0.0
0.5821052631578948,0.0
0.5831578947368421,0.0
0.5842105263157895,0.0
0.5852631578947368,0.0
0.5863157894736842,0.0
0.5873684210526315,0.0
0.588421052631579,0.0
0.5894736842105263,0.0
0.5905263157894737,0.0
0.5915789473684211,0.0
0.5926315789473684,0.0
0.5936842105263158,0.0
0.5947368421052631,0.0
0.5957894736842105,0.0
0.5968421052631578,0.0
0.5978947368421053,0.0
0.5989473684210527,0.0
0.6,0.0
0.6010526315789474,0.0
0.6021052631578947,0.0
0.6031578947368421,0.0
0.6042105263157894,0.0
0.6052631578947368,0.0
0.6063157894736843,0.0
0.6073684210526316,0.0
0.608421052631579,0.0
0.6094736842105263,0.0
0.6105263157894737,0.0
0.611578947368421,0.0
0.6126315789473684,0.0
0.6136842105263158,0.0
0.6147368421052631,0.0
0.6157894736842106,0.0
0.6168421052631579,0.0
0.6178947368421053,0.0
0.6189473684210526,0.0
0.62,0.0
0.6210526315789474,0.0
0.6221052631578947,0.0
0.6231578947368421,0.0
0.6242105263157894,0.0
0.6252631578947369,0.0
0.6263157894736842,0.0
0.6273684210526316,0.0
0.628421052631579,0.0
0.6294736842105263,0.0
0.6305263157894737,0.0
0.631578947368421,0.0
0.6326315789473684,0.0
0.6336842105263157,0.0
0.6347368421052632,0.0
0.6357894736842106,0.0
0.6368421052631579,0.0
0.6378947368421053,0.0
0.6389473684210526,0.0
0.64,0.0
0.6410526315789473,0.0
0.6421052631578947,0.0
0.6431578947368422,0.0
0.6442105263157895,0.0
0.6452631578947369,0.0
0.6463157894736842,0.0
0.6473684210526316,0.0
0.6484210526315789,0.0
0.6494736842105263,0.0
0.6505263157894737,0.0
0.651578947368421,0.0
0.6526315789473685,0.0
0.6536842105263158,0.0
0.6547368421052632,0.0
0.6557894736842105,0.0
0.6568421052631579,0.0
0.6578947368421053,0.0
0.6589473684210526,0.0
0.66,0.0
0.6610526315789473,0.0
0.6621052631578948,0.0
0.6631578947368421,0.0
0.6642105263157895,0.0
0.6652631578947369,0.0
0.6663157894736842,0.0
0.6673684210526316,0.0
0.6684210526315789,0.0
0.6694736842105263,0.0
0.6705263157894736,0.0
0.671578947368421,0.0
0.6726315789473685,0.0
0.6736842105263158,0.0
0.6747368421052632,0.0
0.6757894736842105,0.0
0.6768421052631579,0.0
0.6778947368421052,0.0
0.6789473684210526,0.0
0.68,0.0
0.6810526315789474,0.0
0.6821052631578948,0.0
0.6831578947368421,0.0
0.6842105263157895,0.0
0.6852631578947368,0.0
0.6863157894736842,0.0
0.6873684210526316,0.0
0.6884210526315789,0.0
0.6894736842105263,0.0
0.6905263157894737,0.0
0.6915789473684211,0.0
0.6926315789473684,0.0
0.6936842105263158,0.0
0.6947368421052632,0.0
0.6957894736842105,0.0
0.6968421052631579,0.0
0.6978947368421052,0.0
0.6989473684210527,0.0
0.7,0.0
0.7010526315789474,0.0
0.7021052631578948,0.0
0.7031578947368421,0.0
0.7042105263157895,0.0
0.7052631578947368,0.0
0.7063157894736842,0.0
0.7073684210526315,0.0
0.708421052631579,0.0
0.7094736842105264,0.0
0.7105263157894737,0.0
0.7115789473684211,0.0
0.7126315789473684,0.0
0.7136842105263158,0.0
0.7147368421052631,0.0
0.7157894736842105,0.0
0.716842105263158,0.0
0.7178947368421053,0.0
0.7189473684210527,0.0
0.72,0.0
0.7210526315789474,0.0
0.7221052631578947,0.0
0.7231578947368421,0.0
0.7242105263157895,0.0
0.7252631578947368,0.0
0.7263157894736842,0.0
0.7273684210526316,0.0
0.728421052631579,0.0
0.7294736842105263,0.0
0.7305263157894737,0.0
0.7315789473684211,0.0
0.7326315789473684,0.0
0.7336842105263158,0.0
0.7347368421052631,0.0
0.7357894736842105,0.0
0.7368421052631579,0.0
0.7378947368421053,0.0
0.7389473684210527,0.0
0.74,0.0
0.7410526315789474,0.0
0.7421052631578947,0.0
0.7431578947368421,0.0
0.7442105263157894,0.0
0.7452631578947368,0.0
0.7463157894736843,0.0
0.7473684210526316,0.0
0.748421052631579,0.0
0.7494736842105263,0.0
0.7505263157894737,0.0
0.751578947368421,0.0
0.7526315789473684,0.0
0.7536842105263157,0.0
0.7547368421052632,0.0
0.7557894736842106,0.0
0.7568421052631579,0.0
0.7578947368421053,0.0
0.7589473684210526,0.0
0.76,0.0
0.7610526315789473,0.0
0.7621052631578947,0.0
0.7631578947368421,0.0
0.7642105263157895,0.0
0.7652631578947369,0.0
0.7663157894736842,0.0
0.7673684210526316,0.0
0.7684210526315789,0.0
0.7694736842105263,0.0
0.7705263157894737,0.0
0.771578947368421,0.0
0.7726315789473684,0.0
0.7736842105263158,0.0
0.7747368421052632,0.0
0.7757894736842105,0.0
0.7768421052631579,0.0
0.7778947368421053,0.0
0.7789473684210526,0.0
0.78,0.0
0.7810526315789473,0.0
0.7821052631578947,0.0
0.783157894736842,0.0
0.7842105263157895,0.0
0.7852631578947369,0.0
0.7863157894736842,0.0
0.7873684210526316,0.0
0.7884210526315789,0.0
0.7894736842105263,0.0
0.7905263157894736,0.0
0.791578947368421,0.0
0.7926315789473685,0.0
0.7936842105263158,0.0
0.7947368421052632,0.0
0.7957894736842105,0.0
0.7968421052631579,0.0
0.7978947368421052,0.0
0.7989473684210526,0.0
0.8,0.0
0.8010526315789473,0.0
0.8021052631578948,0.0
0.8031578947368421,0.0
0.8042105263157895,0.0
0.8052631578947368,0.0
0.8063157894736842,0.0
0.8073684210526316,0.0
0.8084210526315789,0.0
0.8094736842105263,0.0
0.8105263157894737,0.0
0.8115789473684211,0.0
0.8126315789473684,0.0
0.8136842105263158,0.0
0.8147368421052632,0.0
0.8157894736842105,0.0
0.8168421052631579,0.0
0.8178947368421052,0.0
0.8189473684210526,0.0
0.82,0.0
0.8210526315789474,0.0
0.8221052631578948,0.0
0.8231578947368421,0.0
0.8242105263157895,0.0
0.8252631578947368,0.0
0.8263157894736842,0.0
0.8273684210526315,0.0
0.828421052631579,0.0
0.8294736842105264,0.0
0.8305263157894737,0.0
0.8315789473684211,0.0
0.8326315789473684,0.0
0.8336842105263158,0.0
0.8347368421052631,0.0
0.8357894736842105,0.0
0.8368421052631579,0.0
0.8378947368421052,0.0
0.8389473684210527,0.0
0.84,0.0
0.8410526315789474,0.0
0.8421052631578947,0.0
0.8431578947368421,0.0
0.8442105263157895,0.0
0.8452631578947368,0.0
0.8463157894736842,0.0
0.8473684210526315,0.0
0.848421052631579,0.0
0.8494736842105263,0.0
0.8505263157894737,0.0
0.8515789473684211,0.0
0.8526315789473684,0.0
0.8536842105263158,0.0
0.8547368421052631,0.0
0.8557894736842105,0.0
0.8568421052631578,0.0
0.8578947368421053,0.0
0.8589473684210527,0.0
0.86,0.0
0.8610526315789474,0.0
0.8621052631578947,0.0
0.8631578947368421,0.0
0.8642105263157894,0.0
0.8652631578947368,0.0
0.8663157894736843,0.0
0.8673684210526316,0.0
0.868421052631579,0.0
0.8694736842105263,0.0
0.8705263157894737,0.0
0.871578947368421,0.0
0.8726315789473684,0.0
0.8736842105263158,0.0
0.8747368421052631,0.0
0.8757894736842106,0.0
0.8768421052631579,0.0
0.8778947368421053,0.0
0.8789473684210526,0.0
0.88,0.0
0.8810526315789474,0.0
0.8821052631578947,0.0
0.8831578947368421,0.0
0.8842105263157894,0.0
0.8852631578947369,0.0
0.8863157894736842,0.0
0.8873684210526316,0.0
0.888421052631579,0.0
0.8894736842105263,0.0
0.8905263157894737,0.0
0.891578947368421,0.0
0.8926315789473684,0.0
0.8936842105263157,0.0
0.8947368421052632,0.0
0.8957894736842106,0.0
0.8968421052631579,0.0
0.8978947368421053,0.0
0.8989473684210526,0.0
0.9,0.0
0.9010526315789473,0.0
0.9021052631578947,0.0
0.9031578947368422,0.0
0.9042105263157895,0.0
0.9052631578947369,0.0
0.9063157894736842,0.0
0.9073684210526316,0.0
0.9084210526315789,0.0
0.9094736842105263,0.0
0.9105263157894737,0.0
0.911578947368421,0.0
0.9126315789473685,0.0
0.9136842105263158,0.0
0.9147368421052632,0.0
0.9157894736842105,0.0
0.9168421052631579,0.0
0.9178947368421052,0.0
0.9189473684210526,0.0
0.92,0.0
0.9210526315789473,0.0
0.9221052631578948,0.0
0.9231578947368421,0.0
0.9242105263157895,0.0
0.9252631578947368,0.0
0.9263157894736842,0.0
0.9273684210526316,0.0
0.9284210526315789,0.0
0.9294736842105263,0.0
0.9305263157894736,0.0
0.9315789473684211,0.0
0.9326315789473684,0.0
0.9336842105263158,0.0
0.9347368421052632,0.0
0.9357894736842105,0.0
0.9368421052631579,0.0
0.9378947368421052,0.0
0.9389473684210526,0.0
0.94,0.0
0.9410526315789474,0.0
0.9421052631578948,0.0
0.9431578947368421,0.0
0.9442105263157895,0.0
0.9452631578947368,0.0
0.9463157894736842,0.0
0.9473684210526315,0.0
0.9484210526315789,0.0
0.9494736842105264,0.0
0.9505263157894737,0.0
0.9515789473684211,0.0
0.9526315789473684,0.0
0.9536842105263158,0.0
0.9547368421052631,0.0
0.9557894736842105,0.0
0.9568421052631579,0.0
0.9578947368421052,0.0
0.9589473684210527,0.0
0.96,0.0
0.9610526315789474,0.0
0.9621052631578947,0.0
0.9631578947368421,0.0
0.9642105263157895,0.0
0.9652631578947368,0.0
0.9663157894736842,0.0
0.9673684210526315,0.0
0.968421052631579,0.0
0.9694736842105263,0.0
0.9705263157894737,0.0
0.9715789473684211,0.0
0.9726315789473684,0.0
0.9736842105263158,0.0
0.9747368421052631,0.0
0.9757894736842105,0.0
0.9768421052631578,0.0
0.9778947368421053,0.0
0.9789473684210527,0.0
0.98,0.0
0.9810526315789474,0.0
0.9821052631578947,0.0
0.9831578947368421,0.0
0.9842105263157894,0.0
0.9852631578947368,0.0
0.9863157894736843,0.0
0.9873684210526316,0.0
0.988421052631579,0.0
0.9894736842105263,0.0
0.9905263157894737,0.0
0.991578947368421,0.0
0.9926315789473684,0.0
0.9936842105263158,0.0
0.9947368421052631,0.0
0.9957894736842106,0.0
0.9968421052631579,0.0
0.9978947368421053,0.0
0.9989473684210526,0.0
1.0,0.0
