config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
BA-random,Adaptive TD,0.1,100,0.313021582733813,0.10258711051158442,0.010258711051158442,0.7356686955358402,0.021758535502925943,0.002175853550292594,1.0
BA-random,Adaptive TD,0.2,100,0.3256937307297019,0.09113111006116886,0.009113111006116887,0.7317203872677474,0.01971500797484686,0.001971500797484686,1.0
BA-random,Adaptive TD,0.5,100,0.3529599177800617,0.09121356976017014,0.009121356976017014,0.6972673672575027,0.019573267378364317,0.001957326737836432,1.0
BA-random,Adaptive TD,1.0,100,0.35079136690647483,0.09336227864901106,0.009336227864901106,0.6804678007629164,0.022439489844069647,0.0022439489844069647,1.0
BA-random,Adaptive TD,2.0,100,0.3488283658787256,0.10028348038240299,0.0100283480382403,0.6720506146681159,0.023545856931236946,0.0023545856931236945,1.0
BA-random,Adaptive TD,5.0,100,0.3760739979445016,0.09578905994252648,0.009578905994252648,0.6671666645463229,0.026996227419403742,0.002699622741940374,1.0
BA-random,Adaptive TD,10.0,100,0.3664337101747174,0.09863238404689167,0.009863238404689167,0.6677552485182053,0.02603392339643227,0.002603392339643227,1.0
BA-random,Adaptive TD,20.0,100,0.3524049331963002,0.10364298310752834,0.010364298310752834,0.6703130431097007,0.02977763553772336,0.0029777635537723357,1.0
BA-random,Adaptive TD,50.0,100,0.34427543679342243,0.09367594322101076,0.009367594322101077,0.6728598872115706,0.025108242547888907,0.0025108242547888905,1.0
BA-random,Adaptive TD,100.0,100,0.3640801644398767,0.09569922419022947,0.009569922419022946,0.6714795035184215,0.020780253756499563,0.0020780253756499563,1.0
BA-random,Adaptive TD,200.0,100,0.3724049331963,0.09323848120434375,0.009323848120434375,0.6707861341302155,0.030772174774407683,0.0030772174774407685,1.0
BA-random,Adaptive TD,500.0,100,0.3497225077081192,0.09755631287679682,0.009755631287679683,0.6661190731377508,0.028003429169138578,0.0028003429169138577,1.0
BA-random,Adaptive Katz,0.1,100,0.2643679342240493,0.08764994128818875,0.008764994128818874,0.7691240751979,0.0164952061706033,0.0016495206170603302,1.0
BA-random,Adaptive Katz,0.2,100,0.27141829393627953,0.08016669232875281,0.008016669232875282,0.7703393536265355,0.0160075152313013,0.00160075152313013,1.0
BA-random,Adaptive Katz,0.5,100,0.29066803699897226,0.07823735589992,0.007823735589992,0.7469186752372065,0.018512043972549172,0.0018512043972549173,1.0
BA-random,Adaptive Katz,1.0,100,0.2907502569373073,0.08140065864146037,0.008140065864146038,0.7342610145341796,0.019277789243210535,0.0019277789243210535,1.0
BA-random,Adaptive Katz,2.0,100,0.2916957862281604,0.0844563995999093,0.00844563995999093,0.7241913366488766,0.02123533839854527,0.002123533839854527,1.0
BA-random,Adaptive Katz,5.0,100,0.31558067831449127,0.08407526675369117,0.008407526675369117,0.7256386954825303,0.021767022983715103,0.00217670229837151,1.0
BA-random,Adaptive Katz,10.0,100,0.30472764645426514,0.08313411358593549,0.008313411358593549,0.7261496816276274,0.02206154468918251,0.0022061544689182507,1.0
BA-random,Adaptive Katz,20.0,100,0.296896197327852,0.08911519632999923,0.008911519632999923,0.7196504205652995,0.023677968073152637,0.002367796807315264,1.0
BA-random,Adaptive Katz,50.0,100,0.29281603288797536,0.08132725765502236,0.008132725765502235,0.7221189875498528,0.02152402112930916,0.0021524021129309162,1.0
BA-random,Adaptive Katz,100.0,100,0.3056628982528263,0.0793726005474811,0.00793726005474811,0.7218309209121054,0.022423037062809528,0.0022423037062809527,1.0
BA-random,Adaptive Katz,200.0,100,0.3171223021582734,0.08015907958994087,0.008015907958994086,0.7205753598879001,0.02357720464548013,0.0023577204645480127,1.0
BA-random,Adaptive Katz,500.0,100,0.2930318602261048,0.08635360148785151,0.00863536014878515,0.7188128463500832,0.02489859711963804,0.002489859711963804,1.0
BA-random,Adaptive TIA,0.1,100,0.2293319630010277,0.07618471768124134,0.007618471768124134,0.7715553593123193,0.02502849871959842,0.0025028498719598417,1.0
BA-random,Adaptive TIA,0.2,100,0.236382322713258,0.07060689564186792,0.007060689564186792,0.7745269387233787,0.018888612629393817,0.0018888612629393818,1.0
BA-random,Adaptive TIA,0.5,100,0.24946557040082218,0.06895482844300388,0.006895482844300388,0.7511400278994417,0.023625480021497253,0.002362548002149725,1.0
BA-random,Adaptive TIA,1.0,100,0.2453031860226105,0.07131452295314548,0.007131452295314549,0.7420898916977032,0.024781561796374377,0.0024781561796374378,1.0
BA-random,Adaptive TIA,2.0,100,0.24292908530318605,0.07621252978803753,0.007621252978803753,0.7344543716119395,0.024119113601544544,0.0024119113601544545,1.0
BA-random,Adaptive TIA,5.0,100,0.262322713257965,0.07401822834934227,0.0074018228349342265,0.7362231745397222,0.028036761122713933,0.0028036761122713933,1.0
BA-random,Adaptive TIA,10.0,100,0.2532990750256937,0.07443124537487585,0.007443124537487585,0.7368846442688881,0.027749084906383687,0.002774908490638369,1.0
BA-random,Adaptive TIA,20.0,100,0.24426515930113052,0.08009616495939427,0.008009616495939427,0.7339855824752142,0.028843256163860524,0.0028843256163860525,1.0
BA-random,Adaptive TIA,50.0,100,0.2407502569373073,0.07247189922398886,0.007247189922398886,0.7339480898207374,0.028538822699281062,0.002853882269928106,1.0
BA-random,Adaptive TIA,100.0,100,0.252415210688592,0.07271541874846826,0.007271541874846826,0.7371645347270814,0.025541076724835094,0.0025541076724835093,1.0
BA-random,Adaptive TIA,200.0,100,0.2598458376156218,0.07171393086611455,0.007171393086611455,0.7379049961997413,0.029767983156468888,0.002976798315646889,1.0
BA-random,Adaptive TIA,500.0,100,0.24017471736896195,0.07603228713281178,0.007603228713281178,0.7359556754123523,0.027729161259108938,0.002772916125910894,1.0
BA-random,GNN-RL,0.1,100,0.14766700924974308,0.044321589883269646,0.004432158988326965,0.8912643292175987,0.011535491861115736,0.0011535491861115737,1.0
BA-random,GNN-RL,0.2,100,0.14882836587872558,0.03908466810048204,0.003908466810048204,0.8932360020997594,0.01076206492464873,0.001076206492464873,1.0
BA-random,GNN-RL,0.5,100,0.1491983556012333,0.034808412887554575,0.0034808412887554576,0.8935280829572204,0.008267289976819482,0.0008267289976819482,1.0
BA-random,GNN-RL,1.0,100,0.14440904419321687,0.035388167015110675,0.0035388167015110673,0.8942418895930067,0.008255057972614287,0.0008255057972614288,1.0
BA-random,GNN-RL,2.0,100,0.14141829393627955,0.03716674306803446,0.003716674306803446,0.8931229111747941,0.008584232990681886,0.0008584232990681886,1.0
BA-random,GNN-RL,5.0,100,0.15079136690647482,0.03670434249149827,0.003670434249149827,0.891730646126782,0.007689947878971204,0.0007689947878971204,1.0
BA-random,GNN-RL,10.0,100,0.14627954779033914,0.03636113881507221,0.0036361138815072212,0.8931345039535933,0.007303004329248327,0.0007303004329248326,1.0
BA-random,GNN-RL,20.0,100,0.1418910585817061,0.039109827161025575,0.003910982716102558,0.8916115850483188,0.0079926928839682,0.00079926928839682,1.0
BA-random,GNN-RL,50.0,100,0.13987667009249743,0.03568451294006215,0.0035684512940062146,0.8933941572732514,0.0076462085202566085,0.0007646208520256609,1.0
BA-random,GNN-RL,100.0,100,0.146032887975334,0.03651218397310001,0.0036512183973100008,0.8924342657272645,0.008331603534330677,0.0008331603534330676,1.0
BA-random,GNN-RL,200.0,100,0.15042137718396714,0.03549189374253168,0.003549189374253168,0.8914174082034174,0.006986074061689404,0.0006986074061689403,1.0
BA-random,GNN-RL,500.0,100,0.14043165467625898,0.03672086871195782,0.0036720868711957824,0.8928308705412004,0.007685385295138051,0.000768538529513805,1.0
BA-localized,Adaptive TD,0.1,100,0.3109558067831449,0.10199522536832815,0.010199522536832815,0.7395157973681097,0.02239153408309867,0.002239153408309867,1.0
BA-localized,Adaptive TD,0.2,100,0.3221274409044193,0.09451351506596425,0.009451351506596425,0.7345356429727269,0.02246416088112451,0.002246416088112451,1.0
BA-localized,Adaptive TD,0.5,100,0.35121274409044195,0.09556154202892217,0.009556154202892218,0.7007290464916828,0.025123879863349016,0.0025123879863349014,1.0
BA-localized,Adaptive TD,1.0,100,0.34845837615621783,0.09915041237688968,0.009915041237688969,0.6843590098562927,0.02556990867348937,0.002556990867348937,1.0
BA-localized,Adaptive TD,2.0,100,0.34464542651593016,0.09912098868592817,0.009912098868592817,0.6760218779491719,0.023966901348000162,0.002396690134800016,1.0
BA-localized,Adaptive TD,5.0,100,0.3730215827338128,0.10185729867292007,0.010185729867292007,0.6719552140232051,0.022849279414096788,0.002284927941409679,1.0
BA-localized,Adaptive TD,10.0,100,0.360174717368962,0.09846152747672654,0.009846152747672653,0.6786589880325223,0.023966586792530612,0.002396658679253061,1.0
BA-localized,Adaptive TD,20.0,100,0.3512435765673176,0.10589379857246471,0.010589379857246471,0.6747312690144495,0.02333658580492328,0.002333658580492328,1.0
BA-localized,Adaptive TD,50.0,100,0.34225077081192196,0.09866965286137272,0.009866965286137272,0.6822079491063333,0.025664548670944986,0.0025664548670944988,1.0
BA-localized,Adaptive TD,100.0,100,0.35924974306269275,0.09675595818028229,0.009675595818028229,0.6778736362201812,0.025403523724033338,0.002540352372403334,1.0
BA-localized,Adaptive TD,200.0,100,0.37182939362795475,0.10043127342390254,0.010043127342390254,0.6767318359949752,0.026115253884889052,0.002611525388488905,1.0
BA-localized,Adaptive TD,500.0,100,0.344224049331963,0.10384379991764835,0.010384379991764834,0.678967689607333,0.025656894359034697,0.00256568943590347,1.0
BA-localized,Adaptive Katz,0.1,100,0.264049331963001,0.08901242032251418,0.008901242032251417,0.7713907588461691,0.017088224918357195,0.0017088224918357195,1.0
BA-localized,Adaptive Katz,0.2,100,0.2712641315519014,0.08136163254964636,0.008136163254964636,0.7720536449316125,0.016476312917242577,0.0016476312917242577,1.0
BA-localized,Adaptive Katz,0.5,100,0.28803699897225077,0.08251752671361172,0.008251752671361173,0.7537532242675838,0.01661461036106448,0.0016614610361064478,1.0
BA-localized,Adaptive Katz,1.0,100,0.28875642343268243,0.08332060298786202,0.008332060298786203,0.7360513594785414,0.01777180616071493,0.0017771806160714928,1.0
BA-localized,Adaptive Katz,2.0,100,0.28785200411099693,0.0867229975748354,0.008672299757483539,0.7311613902984229,0.01837038150574811,0.0018370381505748111,1.0
BA-localized,Adaptive Katz,5.0,100,0.31241521068859196,0.08529092396916606,0.008529092396916606,0.7270984810293892,0.021098406477471642,0.002109840647747164,1.0
BA-localized,Adaptive Katz,10.0,100,0.30428571428571427,0.08419383598641028,0.008419383598641028,0.7253266885058126,0.024380396511441367,0.002438039651144137,1.0
BA-localized,Adaptive Katz,20.0,100,0.2954470709146968,0.08955069318531589,0.00895506931853159,0.7235693039296821,0.022327741193641507,0.002232774119364151,1.0
BA-localized,Adaptive Katz,50.0,100,0.28865364850976366,0.08371949838834569,0.00837194983883457,0.7294079461643738,0.020246862329292983,0.002024686232929298,1.0
BA-localized,Adaptive Katz,100.0,100,0.3025590955806783,0.08240150750796457,0.008240150750796458,0.7286384933473077,0.019873030669884318,0.001987303066988432,1.0
BA-localized,Adaptive Katz,200.0,100,0.31184994861253856,0.08370703652185658,0.008370703652185658,0.7293950598121904,0.019969975125785903,0.00199699751257859,1.0
BA-localized,Adaptive Katz,500.0,100,0.2891880781089414,0.08600004861290063,0.008600004861290063,0.7291724653388737,0.023335457658996642,0.0023335457658996642,1.0
BA-localized,Adaptive TIA,0.1,100,0.2280678314491264,0.07577573460760349,0.007577573460760349,0.7727203230788084,0.023039049075755283,0.0023039049075755285,1.0
BA-localized,Adaptive TIA,0.2,100,0.23574511819116137,0.07080584761767081,0.007080584761767081,0.7760309229812374,0.018794274016164594,0.0018794274016164594,1.0
BA-localized,Adaptive TIA,0.5,100,0.24735868448098666,0.06928720352659314,0.006928720352659313,0.7568913855735664,0.01949269252224603,0.001949269252224603,1.0
BA-localized,Adaptive TIA,1.0,100,0.24699897225077083,0.07156412861758976,0.007156412861758976,0.7390045499633817,0.0232313142777155,0.00232313142777155,1.0
BA-localized,Adaptive TIA,2.0,100,0.24055498458376157,0.07577904165872522,0.007577904165872522,0.7398484020099027,0.023137725839072854,0.0023137725839072853,1.0
BA-localized,Adaptive TIA,5.0,100,0.26080164439876674,0.07428190349630599,0.007428190349630599,0.7396891329598465,0.022283018267766286,0.0022283018267766287,1.0
BA-localized,Adaptive TIA,10.0,100,0.25162384378211716,0.07502288567018295,0.0075022885670182945,0.7406705617113165,0.024928203667880705,0.0024928203667880706,1.0
BA-localized,Adaptive TIA,20.0,100,0.24317574511819118,0.0816168652192293,0.00816168652192293,0.7389534441927261,0.027463710995638872,0.002746371099563887,1.0
BA-localized,Adaptive TIA,50.0,100,0.23908530318602256,0.07500663641727906,0.007500663641727906,0.7408015058084594,0.01999809184714049,0.0019998091847140487,1.0
BA-localized,Adaptive TIA,100.0,100,0.25132579650565257,0.07322861757207604,0.007322861757207604,0.7429002671223282,0.021777035075811125,0.0021777035075811126,1.0
BA-localized,Adaptive TIA,200.0,100,0.25900308324768756,0.0749062805340558,0.00749062805340558,0.7414870155067134,0.022930937496859382,0.0022930937496859383,1.0
BA-localized,Adaptive TIA,500.0,100,0.23856115107913672,0.07664725818527865,0.007664725818527865,0.7412643398133051,0.025767595371913515,0.0025767595371913514,1.0
BA-localized,GNN-RL,0.1,100,0.14876670092497432,0.043975989219364804,0.00439759892193648,0.8908442160867258,0.01080125358440338,0.001080125358440338,1.0
BA-localized,GNN-RL,0.2,100,0.15061664953751286,0.04001215976294174,0.004001215976294175,0.8917919094123153,0.011085356316838463,0.0011085356316838462,1.0
BA-localized,GNN-RL,0.5,100,0.15025693730729703,0.03567903648408358,0.003567903648408358,0.8931362257690995,0.008225847874838411,0.0008225847874838412,1.0
BA-localized,GNN-RL,1.0,100,0.14436793422404934,0.03477635358580217,0.0034776353585802165,0.8934331624365021,0.007990961179447595,0.0007990961179447595,1.0
BA-localized,GNN-RL,2.0,100,0.14163412127440908,0.036726383948357796,0.0036726383948357797,0.8926680619454566,0.008428962055518222,0.0008428962055518222,1.0
BA-localized,GNN-RL,5.0,100,0.15103802672147995,0.03776665045623609,0.003776665045623609,0.8911465884248321,0.008355820195646136,0.0008355820195646137,1.0
BA-localized,GNN-RL,10.0,100,0.14618705035971225,0.03716734556124178,0.003716734556124178,0.8926134824385236,0.008043564907125043,0.0008043564907125043,1.0
BA-localized,GNN-RL,20.0,100,0.14149023638232272,0.041064223005774794,0.00410642230057748,0.8921625356263988,0.0081796325507034,0.0008179632550703401,1.0
BA-localized,GNN-RL,50.0,100,0.13933196300102774,0.037044124270568635,0.0037044124270568636,0.893379082749832,0.008791018302999191,0.0008791018302999191,1.0
BA-localized,GNN-RL,100.0,100,0.1459403905447071,0.03525943843454973,0.0035259438434549727,0.8918890223491264,0.007659576651562979,0.0007659576651562979,1.0
BA-localized,GNN-RL,200.0,100,0.14762589928057554,0.036125208509856815,0.0036125208509856814,0.893191483770197,0.00776567258984342,0.000776567258984342,1.0
