method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,pursuit_mean,pursuit_std,pursuit_sem,success_rate
TD,1,10,0.12323378502828575,0.0023268563978862677,0.000735816600545561,0.8839292851861444,0.003306037567604905,0.0010454608743714398,0.06731750893312916,0.0008176400449025675,0.00025856048480544597,0.0
TD,2,10,0.17831864228391,0.00586452135876215,0.0018545244880393856,0.8360194413641686,0.007837294327499487,0.002478370076801599,0.13172537008677895,0.003339936253793891,0.0010561805801758888,0.0
TD,4,10,0.24567820023681097,0.009063288690667153,0.0028660635354153456,0.7825780035836968,0.011086924383069668,0.00350599332965573,0.24991066870852477,0.008083864926160117,0.002556342546381484,0.0
TD,6,10,0.28739639521115645,0.015166066889877471,0.004795931451847885,0.7351711844744366,0.01560429887857227,0.004934512574629958,0.34235579377233283,0.01641989200449734,0.005192425766819932,0.0
TD,8,10,0.3172740428890935,0.008288007208571516,0.0026208980042980194,0.6889537659553486,0.025218415562996817,0.00797476321597074,0.4210438999489535,0.010891728362120802,0.0034442669280156943,0.0
TD,10,10,0.3388106828048941,0.012899220962478876,0.004079091828322261,0.6718193718917739,0.022489024521451195,0.007111653984316398,0.4917815211842777,0.011710294246776054,0.0037031201890578213,0.0
TD,12,10,0.3505722931193264,0.011843916256821165,0.0037453751787850658,0.643832818544445,0.0198832644123422,0.006287640286237069,0.5456738131699848,0.021541092539237847,0.006811891571245158,0.0
TD,14,10,0.3623733719247467,0.012902863496124942,0.004080243698599798,0.6124411751438592,0.03102402994378057,0.009810659681961214,0.5975880551301684,0.013743024899687185,0.0043459260623418565,0.0
TD,16,10,0.37450335482173397,0.009130642976154218,0.0028873628306465807,0.6062267108448949,0.025312597250180344,0.008004546080508485,0.6469116896375702,0.011148976398102185,0.003525615899746306,0.0
TD,18,10,0.376332061570846,0.009467365874505028,0.002993843960558772,0.6079901939627731,0.016725651238689132,0.005289115326387422,0.6670112302194997,0.006275042295369595,0.001984342606725898,0.0
TD,20,10,0.3922510196026839,0.010998151520210213,0.0034779208855507653,0.5660751489452822,0.02747242730732948,0.008687544314456775,0.7206610515569168,0.013877272852596038,0.004388378992582557,0.0
TIA,1,10,0.07597684515195369,0.0007139567715413828,0.0002257729548971254,0.9224000642640403,0.00147854125914252,0.00046755579934236176,0.06240428790199082,0.0006329554245858731,0.00020015807990502978,0.0
TIA,2,10,0.0869227733193001,0.002524509777131424,0.0007983200871099356,0.9108323381925543,0.002334942697344543,0.0007383737129585945,0.09374680959673302,0.0020106730363686717,0.0006358306424811573,0.0
TIA,4,10,0.11190632811472176,0.004184073740115561,0.0013231202916864594,0.8826263331607785,0.005969971798488496,0.0018878708450195411,0.15504083716181727,0.005312403699300608,0.0016799295540094168,0.0
TIA,6,10,0.12985133535061177,0.002736988001356838,0.000865511601283963,0.8626479961828991,0.005712874268840065,0.0018065694675703703,0.20520673813169985,0.0045421304188918,0.001436347755323278,0.0
TIA,8,10,0.14590185501907643,0.0042050359165316095,0.0013297491139053574,0.8399911020205042,0.010411210767060811,0.0032923139223980896,0.258371618172537,0.0069595150022399,0.002200791881718992,0.0
TIA,10,10,0.16117616103144322,0.009869131050279634,0.003120893264557338,0.8217932701859937,0.0164225314638364,0.005193260437150216,0.3124553343542624,0.01679800613796514,0.005311995954545848,0.0
TIA,12,10,0.17167477963425865,0.006972878443599916,0.0022050177729265675,0.8052476384243015,0.013325672354067924,0.004213947599199237,0.3543772332822869,0.014659249988649467,0.004635661875392978,0.0
TIA,14,10,0.1873174582291804,0.006719387431663337,0.0021248568765165152,0.7785099495902807,0.006573229752797815,0.0020786377602426648,0.40967330270546193,0.012066683834739907,0.0038158204722912917,0.0
TIA,16,10,0.1949217208262071,0.007017108477536259,0.0022190045377491058,0.7785976827878922,0.014142723003108055,0.0044723217006678055,0.44272588055130163,0.015828598629600826,0.005005442383815851,0.0
TIA,18,10,0.19990790685436124,0.005021192530008578,0.0015878404965050468,0.7686045958630614,0.021184707692104815,0.0066991927871940275,0.46359111791730473,0.012866598532723292,0.004068775710238611,0.0
TIA,20,10,0.2162610182870675,0.006373017325257665,0.002015325031552835,0.7477082368318189,0.011640391980959796,0.0036810151516992306,0.5245022970903521,0.01684349225060323,0.005326379926330181,0.0
Katz,1,10,0.10055255887383238,0.0010393369293513987,0.0003286671953075929,0.9062931082247188,0.001898434358777512,0.0006003376562058209,0.0675472179683512,0.0010963852276030261,0.00034670745121876735,0.0
Katz,2,10,0.16003157479279043,0.005688028980311041,0.001798712697482793,0.8597971214658724,0.008489643984628502,0.0026846611515373574,0.1369703930576825,0.0052453334632478294,0.0016587200830962246,0.0
Katz,4,10,0.22945665044073146,0.007443749959595374,0.0023539204205107727,0.8139247105392121,0.0107391648099859,0.003396022096748481,0.264382337927514,0.006262312210034282,0.001980317000279108,0.0
Katz,6,10,0.2804236284699381,0.009305091450218303,0.002942528281884913,0.7746425093284189,0.01155881866620868,0.003655219404608897,0.376773864216437,0.008373057620990668,0.0026477933062161387,0.0
Katz,8,10,0.30331535324299436,0.009618811263793032,0.003041735197686868,0.7546246489127688,0.011094385813647252,0.0035083528411785692,0.46128126595201635,0.009965373602820377,0.003151327831943055,0.0
Katz,10,10,0.3255492698329167,0.005009458739887663,0.0015841299462681995,0.729965695632651,0.013237268562404605,0.004185991865654128,0.5329249617151608,0.008445642855938596,0.002670746772909529,0.0
Katz,12,10,0.3365478226549138,0.01120538348263519,0.003543453386075701,0.716852606318683,0.015165223897870625,0.004795664874368791,0.5993874425727412,0.01605660455964283,0.0050775441897116256,0.0
Katz,14,10,0.35705828180502563,0.008485266614073225,0.0026832769054256343,0.6907678556148938,0.014386616534961488,0.004549447607391773,0.6638335885655946,0.015683581145397453,0.004959583828752836,0.0
Katz,16,10,0.36518879094855944,0.004586126186232737,0.001450260438543699,0.6727166960556684,0.020135575593021343,0.006367428087244306,0.705308831036243,0.014779777204349056,0.004673775927557888,0.0
Katz,18,10,0.37188527825286144,0.009984661504908742,0.0031574272021316105,0.6583680613400225,0.018679292656464175,0.005906910987528392,0.7293644716692189,0.014842041293530586,0.004693465561382836,0.0
Katz,20,10,0.3799894750690698,0.008141114439772851,0.0025744464321767898,0.6507983011703532,0.013712165520468592,0.004336167469790895,0.785145482388974,0.011673102652013751,0.0036913591741315347,0.0
GNN-RL,1,10,0.07101697145112484,0.0014203783266692055,0.0004491630651413373,0.9235239678021874,0.003785139601677674,0.0011969662403003946,0.06011995916283819,0.0002516983527733036,7.959400780761977e-05,0.0
GNN-RL,2,10,0.07438494934876991,0.0015208889374154356,0.00048094731103860564,0.9087117032612104,0.002924238335404395,0.0009247253561057285,0.08568147013782543,0.0007994109118614507,0.00025279592678742984,0.0
GNN-RL,4,10,0.08010788054203394,0.0016053215377267286,0.0005076472436140384,0.9065646807027447,0.004178150549001141,0.0013212472141926556,0.12753956100051045,0.0024059617730034654,0.0007608319165987963,0.0
GNN-RL,6,10,0.08356795158531773,0.002118755125820012,0.0006700092001747867,0.90144440968101,0.00990610742214069,0.0031325862200263675,0.156482899438489,0.003667182247199967,0.0011596648496086529,0.0
GNN-RL,8,10,0.08455466386001842,0.0026227002822289797,0.0008293706511810006,0.901231781097206,0.004013157215151199,0.0012690717408216181,0.18066615620214393,0.005407687422349041,0.0017100609128867898,0.0
GNN-RL,10,10,0.08758058150243389,0.0020534154405614006,0.0006493469774732127,0.8977914086671144,0.0058930273100952875,0.0018635388613476482,0.2081036242981113,0.006600369938425415,0.0020872202405129627,0.0
GNN-RL,12,10,0.08854098144980924,0.003642618382452844,0.0011518970735349306,0.8956665489232247,0.005378871823070566,0.0017009486203005213,0.2289178152118428,0.00692281928406357,0.002189187676737708,0.0
GNN-RL,14,10,0.09030390738060781,0.0026744251268628035,0.0008457274832471227,0.8945251903976998,0.008747961718691437,0.002766348391502611,0.25191424196018375,0.006462720763388871,0.002043691749397096,0.0
GNN-RL,16,10,0.0927772661491909,0.0027925797471746567,0.0008830912548729077,0.8934611873371082,0.01027334383444164,0.0032487165702883352,0.27205206738131704,0.008523534772142512,0.0026953783595614644,0.0
GNN-RL,18,10,0.09147480594658597,0.003035084471454732,0.0009597779820805252,0.8939073601079238,0.006309327511746542,0.0019951845441081835,0.27850944359367025,0.011213268565863332,0.0035459468683297934,0.0
GNN-RL,20,10,0.09389554006051835,0.0027376519313199823,0.0008657215543729998,0.8944310813093919,0.010693030540652805,0.003381433159820457,0.31347626339969376,0.0078051010389701804,0.0024681896650892406,0.0
