method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,infiltration_mean,infiltration_std,infiltration_sem,success_rate
TD,1,10,0.35770512286547274,0.0077034623423179556,0.0024360486871060445,0.5555205247723369,0.00943105933368669,0.0029823628242639896,0.18864265927977839,0.004811938953170525,0.0015216687053705169,0.0
TD,2,10,0.3674718867138692,0.005099447700125418,0.0016125869541303629,0.5325832036008017,0.007001398820463183,0.0022140367079879963,0.30633161851998414,0.004551538978611565,0.0014393230031448953,0.0
TD,4,10,0.3734902124114952,0.004303454418815795,0.0013608717770174086,0.5154802815927392,0.010019321436710646,0.0031683876349356227,0.45546102097348634,0.004423866237618835,0.0013989493374795179,0.0
TD,6,10,0.3677426072469804,0.008300369487074563,0.0026248073000119158,0.5128006634419762,0.010475835164927812,0.0033127499513657547,0.5446576968737633,0.004292352083052859,0.0013573609101815262,0.0
TD,8,10,0.36484798000832985,0.009788031572556798,0.0030952473578919133,0.5128797308330635,0.010851540496923554,0.003431558409183383,0.5994261970716265,0.0067623162802951265,0.0021384321704170208,0.0
TD,10,10,0.3612453144523115,0.011313002971032316,0.0035774856564713994,0.5096489797973712,0.013073199971051533,0.004134108821537016,0.6420459042342699,0.005021552882343481,0.0015879544499188922,0.0
TD,12,10,0.3611620158267389,0.011899264059283928,0.0037628776907118067,0.5100402723606408,0.015164927395312028,0.0047955711120270675,0.6709734863474475,0.004600008074383397,0.001454650277021678,0.0
TD,14,10,0.364369012911287,0.008943965671173105,0.002828330283526359,0.5027548853745726,0.011604778232195986,0.003669753095488166,0.6930550059358923,0.004267654800479298,0.0013495509436866027,0.0
TD,16,10,0.36424406497292794,0.014465103737070039,0.004574267439975472,0.5033783351473422,0.01922386487662236,0.006079119844143843,0.7187178472497033,0.00443425241878322,0.0014022337363465778,0.0
TD,18,10,0.3626613910870471,0.016544858586920428,0.005231943670006345,0.504497178454571,0.02053101367447969,0.006492476588341864,0.7252275425405619,0.003576946387945042,0.0011311297654218583,0.0
TD,20,10,0.3549770928779675,0.012374893269331867,0.00391328485325762,0.5089528319344817,0.011525165819062577,0.0036445774399357788,0.7416303917688959,0.003419999068747521,0.0010814986652896946,0.0
TIA,1,10,0.24518950437317782,0.0027266784345410895,0.0008622514300012175,0.6266995891455844,0.005002075491089841,0.0015817951579949177,0.15991294024535022,0.0017335335270130226,0.0005481914345626178,0.0
TIA,2,10,0.25718450645564356,0.0024640065735525274,0.0007791872942053192,0.5911592072643717,0.004111471620346349,0.0013001614855437547,0.2689948555599525,0.00425589638188567,0.0013458326052428488,0.0
TIA,4,10,0.26561849229487716,0.005481475217322107,0.001733394662450431,0.5667583867317683,0.010277886385420052,0.003250153051036256,0.3949347051840127,0.004882850288584512,0.0015440928385537526,0.0
TIA,6,10,0.27703040399833406,0.01215669527934983,0.003844284590336236,0.5410476910626684,0.022763158980085685,0.007198342911758619,0.47869014641867824,0.005730553376728664,0.0018121600923631524,0.0
TIA,8,10,0.27428154935443566,0.009044927664150179,0.002860257269018107,0.5436439340051954,0.016664989319811054,0.005269932343298313,0.532034032449545,0.0067467828301960185,0.002133520062193646,0.0
TIA,10,10,0.2787796751353603,0.010363923305943299,0.003277360314208291,0.5363302220065587,0.01899472942374886,0.006006660851766401,0.5766125840918085,0.004714625040658545,0.0014908953442144953,0.0
TIA,12,10,0.2795293627655144,0.009331235511435023,0.0029507957599580834,0.5343195466095912,0.017289623400699016,0.005467458983275494,0.6065690542144836,0.0055381872207454904,0.0017513285725993468,0.0
TIA,14,10,0.2862140774677218,0.011369652127952403,0.0035953996928109757,0.5225759188932646,0.02041676752247274,0.006456348782916685,0.6341511673921646,0.005712043556970044,0.0018063067734115097,0.0
TIA,16,10,0.2827988338192419,0.010046466935972605,0.0031769717955246438,0.5271914504037554,0.016689070757233037,0.0052775475624567405,0.6573209339137316,0.005357999190530658,0.0016943481143415358,0.0
TIA,18,10,0.28452728029987506,0.012363972230387738,0.003909831317509735,0.5235126493094486,0.02263875820857298,0.007159003933692385,0.6708151958844479,0.003327454635786153,0.0010522335459970263,0.0
TIA,20,10,0.28315285297792586,0.010755708231472445,0.003401253585967446,0.5252687652174308,0.018659696672066673,0.005900714193159469,0.6899683419074001,0.0028487473761940616,0.0009008530187201766,0.0
Katz,1,10,0.29839650145772595,0.006022935620682297,0.0019046194761916,0.6075619414861372,0.005414623687923061,0.0017122543526537617,0.17936288088642657,0.0023010889096978676,0.000727668205319878,0.0
Katz,2,10,0.3069762598917118,0.005813362381222459,0.0018383465988603034,0.5857184348223765,0.008380777313344313,0.002650234487283469,0.2946774831816383,0.004742980644050783,0.0014998621733292822,0.0
Katz,4,10,0.30978758850478966,0.00578325866555596,0.0018288269681062802,0.5729264012488459,0.010863538483819555,0.0034353525057762044,0.44576573011476056,0.00543777995879166,0.0017195770084598196,0.0
Katz,6,10,0.3118908788004998,0.005204539521620197,0.0016458199060682972,0.5695835358958441,0.006645188208752635,0.0021013930220152785,0.536387020182034,0.004398127290147141,0.0013908099676209194,0.0
Katz,8,10,0.3115368596418159,0.004597488024908049,0.0014538533674058368,0.5650594552986294,0.00719441961986947,0.002275075244179031,0.599168975069252,0.004627458641307776,0.00146333090847607,0.0
Katz,10,10,0.30789254477301126,0.003691607226413124,0.0011673887062202373,0.5668204538944054,0.006300983666997734,0.001992545988723277,0.6338543727740403,0.004298914062168566,0.0013594359901779355,0.0
Katz,12,10,0.3083090379008746,0.0035770552961101993,0.001131164205207627,0.5648155697335677,0.006395537174084668,0.002022446433038435,0.6672536604669569,0.0026115677854067617,0.0008258502465807211,0.0
Katz,14,10,0.30733027905039567,0.004156384399964048,0.0013143641535078663,0.5666825652546499,0.007132751215843573,0.0022555739825400973,0.6893945389790265,0.005960114147547087,0.0018847535820841657,0.0
Katz,16,10,0.3046855476884631,0.006401304268154269,0.002024270148312474,0.5676742777788608,0.010652230065071475,0.0033685309165749485,0.7112781954887218,0.002975587051382238,0.000940963245847235,0.0
Katz,18,10,0.305039566847147,0.005663234580194722,0.0017908720197242817,0.5677197147804941,0.01020905350935082,0.003228386184408369,0.7216066481994459,0.0032632414923764617,0.0010319275671076607,0.0
Katz,20,10,0.3057267805081216,0.007205120454918574,0.0022784591453411237,0.5654809373310399,0.012143340116303301,0.0038400613169612416,0.7399089829837753,0.005984008913656204,0.0018923097705903465,0.0
GNN-RL,1,10,0.2167221990837151,0.006683417089883902,0.0021134820556927424,0.7105770374652699,0.007707982034013756,0.0024374779391140924,0.12807677087455482,0.003495014800088261,0.001105220722427696,0.0
GNN-RL,2,10,0.22303206997084546,0.012215751250364403,0.0038629597281201297,0.7018730237982769,0.012314086043431411,0.0038940559200534375,0.21204986149584487,0.006794544371749182,0.002148623587780523,0.0
GNN-RL,4,10,0.20247813411078716,0.004167065259221729,0.001317741737770063,0.7307875110979525,0.005896692481599668,0.0018646978903445472,0.32182429758607045,0.007165949515438517,0.0022660722066565643,0.0
GNN-RL,6,10,0.19633486047480217,0.004118651664593777,0.001302432014896021,0.7458780081133963,0.005126645972664194,0.001621187803094817,0.39687376335575786,0.006125324509471704,0.0019369976857584205,0.0
GNN-RL,8,10,0.1910662224073303,0.004468575323660741,0.0014130875918792047,0.752919285666111,0.004288203819636325,0.0013560491141084664,0.45296794618124253,0.006000864574046569,0.0018976399984203301,0.0
GNN-RL,10,10,0.18658892128279886,0.00548760319600187,0.0017353324994585312,0.7593601157686851,0.0054263985044085495,0.001715977876566226,0.4900870597546497,0.010084205899871123,0.003188905903770062,0.0
GNN-RL,12,10,0.1795501874219075,0.0050846288919722945,0.0016079008355330685,0.7695132548135243,0.0068133977387106436,0.002154585545896642,0.516778789077958,0.008598647706639569,0.0027191311550364377,0.0
GNN-RL,14,10,0.17515618492294877,0.0030054676261921857,0.0009504123132666837,0.7766506289921353,0.004066158607467875,0.0012858322527097025,0.5448753462603878,0.003840583011594481,0.0012144989859587422,0.0
GNN-RL,16,10,0.1674718867138692,0.0025687869962697685,0.0008123217732034922,0.7870618832052452,0.002223811286794239,0.0007032308752659718,0.5743371586861892,0.008693397576687828,0.002749093694772184,0.0
GNN-RL,18,10,0.16738858808829654,0.006224308300365312,0.001968299108824584,0.788159181858129,0.005147390764226478,0.0016277478821870432,0.5926197071626434,0.01078288427930855,0.003409847406863824,0.0
GNN-RL,20,10,0.164618908788005,0.004816081685208205,0.0015229787522679987,0.7925212914778046,0.004411376051104984,0.0013949995937011092,0.6117728531855955,0.010248639001077581,0.0032409042160238006,0.0
