scenario,variant,lambda_eff,n_runs,pc_mean,pc_sem,anc_mean,anc_sem
covid19,Full,1,30,0.44343814300411527,0.0018864621002264716,0.7448412503518104,0.001409568137164235
covid19,No-Attn,1,30,0.44459876543209875,0.000664562717762638,0.7472585572572688,0.0004600075840158354
covid19,No-Global,1,30,0.45976080246913575,0.002014940373675604,0.7391570417650706,0.001493135930199753
covid19,No-VNode,1,30,0.4824427726337449,0.0017046734192747608,0.7266234662904937,0.0011717850213968112
covid19,Full,10,30,0.34041602366255136,0.0008901100571162034,0.8047049627193981,0.0005157629114423645
covid19,No-Attn,10,30,0.376170267489712,0.0009952733058003185,0.786218850035269,0.0005728327229422844
covid19,No-Global,10,30,0.37054719650205753,0.0013200475407762102,0.7887371745024765,0.000714364293876603
covid19,No-VNode,10,30,0.37518004115226333,0.0016777524628812054,0.7895607497173279,0.0009628534629903862
covid19,Full,20,30,0.31062242798353906,0.001036491254243566,0.8216081699014846,0.0005594113621323805
covid19,No-Attn,20,30,0.3542534722222223,0.0009261865515045676,0.7985437781440022,0.0005168522977358101
covid19,No-Global,20,30,0.3420749742798354,0.0011700067554721364,0.8057775939434042,0.0005989419303487498
covid19,No-VNode,20,30,0.3419077932098765,0.0010541870587018798,0.8073579398957317,0.0004899388164866173
flood,Full,1,30,0.07960717247097844,0.0001897761801177862,0.9193367889829479,0.00034799767674656066
flood,No-Attn,1,30,0.07874429933665007,0.00011877151465096646,0.9170662303469809,0.0002155853923485077
flood,No-Global,1,30,0.07854736733001659,0.00012618335469208883,0.9141311711295688,0.000281861033320033
flood,No-VNode,1,30,0.07862510364842454,0.00012628973232660487,0.91705778426746,0.000269027423929435
flood,Full,10,30,0.07525134742951907,0.0002063385854733831,0.9229031311145334,0.0009289497938230751
flood,No-Attn,10,30,0.07454135572139303,0.00016050243847367585,0.9192902730313698,0.0010910192308318943
flood,No-Global,10,30,0.07418635986733,0.00021727060208367294,0.921353998507477,0.000633999375666528
flood,No-VNode,10,30,0.0740153399668325,0.00015178980607821402,0.9212050606872025,0.0007437788844400593
flood,Full,20,30,0.07411121475953567,0.00019756118850804364,0.9258529709823728,0.0008663728896637185
flood,No-Attn,20,30,0.07339604063018242,0.00017355631318386678,0.9219741789349898,0.0010756815234234443
flood,No-Global,20,30,0.0730410447761194,0.00018528877240889672,0.9222275690208979,0.0009860572860724893
flood,No-VNode,20,30,0.07328720978441128,0.00015760369794841884,0.9225611450640997,0.0007219730017154782
fugitive,Full,1,30,0.0708415559356225,0.0002446978327953091,0.9227541269450157,0.0005547230970991268
fugitive,No-Attn,1,30,0.07219225540499057,0.00019611397102646465,0.9217711125871555,0.0006435075071599746
fugitive,No-Global,1,30,0.0740034206025523,0.0003387126664551934,0.9123008376361674,0.0006057927371044505
fugitive,No-VNode,1,30,0.07262202341797132,0.0005599918826450865,0.9161460440936676,0.0008707041640208878
fugitive,Full,10,30,0.0877910801210367,0.00039595705849921047,0.897594532800627,0.0009752170520330962
fugitive,No-Attn,10,30,0.0867429724159102,0.0005221865831462889,0.8980081501630485,0.00129685425164569
fugitive,No-Global,10,30,0.0944393281585756,0.0006425478753237125,0.8697961130463592,0.001561101367036031
fugitive,No-VNode,10,30,0.09127746349164584,0.000563156206823655,0.8912165767095995,0.0014327966307597876
fugitive,Full,20,30,0.0939744770424944,0.0006695770727469954,0.8935777199576014,0.0011511989516892205
fugitive,No-Attn,20,30,0.09444371354646316,0.0006558972765837121,0.8861345437837865,0.0017035667226010691
fugitive,No-Global,20,30,0.09969740823575846,0.0010251569978346534,0.8630187816796179,0.0025844754569411513
fugitive,No-VNode,20,30,0.09745647502521598,0.0006818025417853102,0.8873342941048837,0.0016318635085015736
invasive,Full,1,30,0.16254830917874397,0.004063053355385611,0.6458945034149628,0.006135917600900494
invasive,No-Attn,1,30,0.08658212560386476,0.0005257393098311336,0.7845674052765459,0.0013712650707466678
invasive,No-Global,1,30,0.14893719806763286,0.003590022654356662,0.6545074906119017,0.0056429567241202475
invasive,No-VNode,1,30,0.22479468599033817,0.005325051202687916,0.6147280218554629,0.0057329907563988215
invasive,Full,10,30,0.12445652173913044,0.0011586337408521156,0.7607552008377197,0.0048988308306362315
invasive,No-Attn,10,30,0.14082125603864737,0.0006988848444680492,0.7644797962259322,0.0029983814576063496
invasive,No-Global,10,30,0.1357608695652174,0.0010460847634870814,0.7640968345809412,0.004385406922143064
invasive,No-VNode,10,30,0.14855072463768115,0.0029461173531871573,0.7496329353543152,0.0068453261581307824
invasive,Full,20,30,0.11946859903381644,0.0008426340417563279,0.7856742338414694,0.0032721611471366336
invasive,No-Attn,20,30,0.14092995169082126,0.000863755980021883,0.7700614915564621,0.0035253157183558186
invasive,No-Global,20,30,0.1335990338164251,0.0009628464914833483,0.7814393137454262,0.0042529551321232265
invasive,No-VNode,20,30,0.13943236714975846,0.0017026058724514124,0.7839204936161743,0.005612195202366144
smuggling,Full,1,30,0.07530364372469636,0.00035577398991805864,0.8591929397519756,0.0008680209236326347
smuggling,No-Attn,1,30,0.07672064777327935,0.0002917914751746243,0.8957294461542155,0.0005625147556889209
smuggling,No-Global,1,30,0.07533738191632927,0.00021168306842019762,0.8834465365336541,0.0006860968566861858
smuggling,No-VNode,1,30,0.07422402159244264,0.0001986450937095783,0.891286318788935,0.0005991086006981743
smuggling,Full,10,30,0.08002699055330635,0.0013092273243004748,0.7810259386213102,0.00711290664216198
smuggling,No-Attn,10,30,0.08012820512820511,0.0009129075043948211,0.8092007367452883,0.007920955335668134
smuggling,No-Global,10,30,0.0782051282051282,0.0008053940705102247,0.807150569638975,0.009739495586677565
smuggling,No-VNode,10,30,0.07901484480431847,0.0009026884195077603,0.8181099673147405,0.006276580310151235
smuggling,Full,20,30,0.08215249662618083,0.0011629484999884706,0.7817109466856865,0.009023310618909087
smuggling,No-Attn,20,30,0.081612685560054,0.0011184435275711255,0.7858644162790008,0.00782099534597242
smuggling,No-Global,20,30,0.08309716599190284,0.0012139655841549078,0.772423814528366,0.007620982655440908
smuggling,No-VNode,20,30,0.08272604588394063,0.0009996226317007693,0.7849081329049782,0.008578946361310942
socialbot,Full,1,30,0.21628488129945858,0.0014756179041638257,0.7098181771880836,0.0017357837557689486
socialbot,No-Attn,1,30,0.23488129945855893,0.0009578511936710454,0.7156890290621404,0.0010961697107577733
socialbot,No-Global,1,30,0.22379564070526173,0.0024590801541150872,0.7105458779841088,0.002873746821504981
socialbot,No-VNode,1,30,0.2547619047619048,0.0035700839688033456,0.706262954085217,0.0037823767233298826
socialbot,Full,10,30,0.18264611967235878,0.0008719282130515654,0.7649798109207101,0.00105586088549902
socialbot,No-Attn,10,30,0.22380258225739272,0.0008302136976457645,0.7460652922968275,0.0010962757751892308
socialbot,No-Global,10,30,0.21543107038733864,0.000929481347308802,0.7624763815699088,0.0009969526565651397
socialbot,No-VNode,10,30,0.21962376787449678,0.0019566186209210436,0.7648813116803932,0.0021467364407222246
socialbot,Full,20,30,0.16457031792308757,0.0011140243244136577,0.7919467664919859,0.001094973142426272
socialbot,No-Attn,20,30,0.220637234485631,0.0009063312177308109,0.7560314514300903,0.0010603874448095062
socialbot,No-Global,20,30,0.1992017215049285,0.0010737521389715264,0.7861550148433117,0.0012068608810118897
socialbot,No-VNode,20,30,0.19698042482299047,0.0015051599760099363,0.7927334379559531,0.0016040804979067051
